continentEnglishName,countryEnglishName,provinceEnglishName,province_zipCode,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,cityEnglishName,city_zipCode,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime
Asia,China,Shanghai,310000,509,19,341,5,,0,170,0,14,0,2020/3/31 15:43
Asia,China,Shanghai,310000,509,19,341,5,,0,111,0,107,0,2020/3/31 15:43
Asia,China,Shanghai,310000,509,19,341,5,Baoshan District,310113,22,0,19,1,2020/3/31 15:43
Asia,China,Shanghai,310000,509,19,341,5,Jiading District,310114,9,0,7,1,2020/3/31 15:43
Asia,China,Shanghai,310000,509,19,341,5,Pudong District,310115,61,0,60,1,2020/3/31 15:43
Asia,China,Shanghai,310000,509,19,341,5,Minhang District,310112,19,0,19,0,2020/3/31 15:43
Asia,China,Shanghai,310000,509,19,341,5,Xuhui District,310104,18,0,17,1,2020/3/31 15:43
Asia,China,Shanghai,310000,509,19,341,5,Jing'an District,310106,16,0,15,1,2020/3/31 15:43
Asia,China,Shanghai,310000,509,19,341,5,Songjiang District,310117,14,0,14,0,2020/3/31 15:43
Asia,China,Shanghai,310000,509,19,341,5,Changning District,310105,13,0,13,0,2020/3/31 15:43
Asia,China,Shanghai,310000,509,19,341,5,Putuo District,310107,11,0,11,0,2020/3/31 15:43
Asia,China,Shanghai,310000,509,19,341,5,Yangpu District,310110,9,0,9,0,2020/3/31 15:43
Asia,China,Shanghai,310000,509,19,341,5,Fengxian District,310120,9,0,9,0,2020/3/31 15:43
Asia,China,Shanghai,310000,509,19,341,5,Hongkou District,310109,7,0,7,0,2020/3/31 15:43
Asia,China,Shanghai,310000,509,19,341,5,Huangpu District,310101,6,0,6,0,2020/3/31 15:43
Asia,China,Shanghai,310000,509,19,341,5,Qingpu District,310118,6,0,6,0,2020/3/31 15:43
Asia,China,Shanghai,310000,509,19,341,5,Jinshan District,310116,4,0,4,0,2020/3/31 15:43
Asia,China,Shanghai,310000,509,19,341,5,Chongming District,310151,4,0,4,0,2020/3/31 15:43
Asia,China,China,951001,82563,0,76230,3314,,,,,,,2020/3/31 15:43
Asia,China,Taiwan,710000,322,0,39,5,,,,,,,2020/3/31 15:26
Asia,China,China,951001,82563,0,76227,3314,,,,,,,2020/3/31 15:26
Asia,China,Beijing,110000,580,157,418,8,,0,164,3,20,0,2020/3/31 13:46
Asia,China,Beijing,110000,580,157,418,8,Chaoyang District,110105,72,0,0,0,2020/3/31 13:46
Asia,China,Beijing,110000,580,157,418,8,Haidian District,110108,64,0,0,0,2020/3/31 13:46
Asia,China,Beijing,110000,580,157,418,8,Xicheng District,110102,53,0,0,0,2020/3/31 13:46
Asia,China,Beijing,110000,580,157,418,8,Fengtai District,110106,43,0,3,0,2020/3/31 13:46
Asia,China,Beijing,110000,580,157,418,8,Daxing District,110115,39,0,16,0,2020/3/31 13:46
Asia,China,Beijing,110000,580,157,418,8,,0,25,0,2,0,2020/3/31 13:46
Asia,China,Beijing,110000,580,157,418,8,Changping District,110114,29,0,10,0,2020/3/31 13:46
